Electric field / N (Td),Momentum frequency /N (m3/s),Mean energy (eV),Mobility *N (1/m/V/s)
1.00000E+00,1.36063E-13,3.88525E-01,3.98323E+23
2.18787E+00,1.36067E-13,3.91444E-01,4.00020E+23
5.75149E+00,1.36197E-13,4.14153E-01,4.12942E+23
1.16908E+01,1.37569E-13,4.94578E-01,4.55087E+23
2.00059E+01,1.46239E-13,7.40332E-01,5.50904E+23
3.06968E+01,1.57831E-13,1.28719E+00,6.82394E+23
4.37634E+01,1.63923E-13,2.09994E+00,7.86913E+23
5.92057E+01,1.67911E-13,2.63158E+00,8.19208E+23
7.70238E+01,1.72056E-13,3.08793E+00,8.31955E+23
9.72176E+01,1.76537E-13,3.52728E+00,8.35251E+23
1.19787E+02,1.81432E-13,3.96807E+00,8.32227E+23
1.44732E+02,1.86839E-13,4.42243E+00,8.24408E+23
1.72054E+02,1.92490E-13,4.89463E+00,8.13680E+23
2.01750E+02,1.98366E-13,5.39014E+00,8.00881E+23
2.33823E+02,2.04484E-13,5.91209E+00,7.86508E+23
2.68271E+02,2.10796E-13,6.46283E+00,7.71105E+23
3.05095E+02,2.17079E-13,7.04714E+00,7.55666E+23
3.44295E+02,2.23286E-13,7.66652E+00,7.40516E+23
3.85870E+02,2.29589E-13,8.31876E+00,7.25188E+23
4.29822E+02,2.35782E-13,9.00681E+00,7.10406E+23
4.76149E+02,2.41931E-13,9.72893E+00,6.96022E+23
5.24851E+02,2.48031E-13,1.04839E+01,6.82052E+23
5.75930E+02,2.54048E-13,1.12723E+01,6.68623E+23
6.29384E+02,2.59976E-13,1.20935E+01,6.55728E+23
6.85214E+02,2.65804E-13,1.29479E+01,6.43369E+23
7.43420E+02,2.71590E-13,1.38339E+01,6.31411E+23
8.04001E+02,2.77210E-13,1.47539E+01,6.20125E+23
8.66958E+02,2.82783E-13,1.57066E+01,6.09223E+23
9.32291E+02,2.88274E-13,1.66924E+01,5.98771E+23
1.00000E+03,2.93671E-13,1.77146E+01,5.88778E+23
