Electric field / N (Td),Momentum frequency /N (m3/s),Mean energy (eV),Mobility *N (1/m/V/s)
1.00000E+00,1.36246E-13,3.89636E-01,9.40733E+23
2.18787E+00,1.36165E-13,3.96824E-01,9.45370E+23
5.75149E+00,1.36103E-13,4.52335E-01,9.75010E+23
1.16908E+01,1.39610E-13,6.36240E-01,1.02195E+24
2.00059E+01,1.49132E-13,9.96275E-01,1.03200E+24
3.06968E+01,1.58977E-13,1.73424E+00,1.02923E+24
4.37634E+01,1.64594E-13,2.48690E+00,1.02091E+24
5.92057E+01,1.69256E-13,3.06427E+00,1.00488E+24
7.70238E+01,1.74034E-13,3.56353E+00,9.84499E+23
9.72176E+01,1.79085E-13,4.02455E+00,9.61535E+23
1.19787E+02,1.84476E-13,4.46661E+00,9.36835E+23
1.44732E+02,1.90009E-13,4.90677E+00,9.12038E+23
1.72054E+02,1.95857E-13,5.35236E+00,8.86682E+23
2.01750E+02,2.01763E-13,5.81619E+00,8.62173E+23
2.33823E+02,2.07723E-13,6.30529E+00,8.38582E+23
2.68271E+02,2.13741E-13,6.82399E+00,8.15901E+23
3.05095E+02,2.19761E-13,7.37872E+00,7.94318E+23
3.44295E+02,2.25828E-13,7.97016E+00,7.73626E+23
3.85870E+02,2.31777E-13,8.60043E+00,7.54319E+23
4.29822E+02,2.37677E-13,9.26905E+00,7.36062E+23
4.76149E+02,2.43583E-13,9.97365E+00,7.18620E+23
5.24851E+02,2.49507E-13,1.07127E+01,7.01904E+23
5.75930E+02,2.55337E-13,1.14871E+01,6.86180E+23
6.29384E+02,2.61098E-13,1.22962E+01,6.71299E+23
6.85214E+02,2.66788E-13,1.31391E+01,6.57207E+23
7.43420E+02,2.72425E-13,1.40154E+01,6.43802E+23
8.04001E+02,2.77960E-13,1.49255E+01,6.31151E+23
8.66958E+02,2.83446E-13,1.58693E+01,6.19084E+23
9.32291E+02,2.88915E-13,1.68459E+01,6.07495E+23
1.00000E+03,2.94196E-13,1.78620E+01,5.96702E+23
