E/N (Td), Momentum frequency /N (m3/s), Mean energy (eV)
1.00000, 0.137708E-12, 0.390819
2.18787, 0.137603E-12, 0.402595
5.75149, 0.137547E-12, 0.492926
11.6908, 0.143593E-12, 0.751709
20.0059, 0.155594E-12, 1.15590
30.6968, 0.164377E-12, 1.84111
43.7634, 0.169052E-12, 2.61857
59.2057, 0.172892E-12, 3.25925
77.0238, 0.177036E-12, 3.77507
97.2176, 0.181595E-12, 4.22120
119.787, 0.186600E-12, 4.63495
144.732, 0.191816E-12, 5.04554
172.054, 0.197377E-12, 5.46431
201.750, 0.203040E-12, 5.90625
233.823, 0.208796E-12, 6.37802
268.271, 0.214627E-12, 6.88360
305.095, 0.220491E-12, 7.42869
344.295, 0.226429E-12, 8.01308
385.870, 0.232269E-12, 8.63816
429.822, 0.238084E-12, 9.30286
476.149, 0.243985E-12, 10.0032
524.851, 0.249785E-12, 10.7411
575.930, 0.255567E-12, 11.5136
629.384, 0.261291E-12, 12.3211
685.214, 0.266951E-12, 13.1625
743.420, 0.272565E-12, 14.0375
804.001, 0.278080E-12, 14.9465
866.958, 0.283549E-12, 15.8892
932.291, 0.289005E-12, 16.8648
1000.00, 0.294276E-12, 17.8800
