Electric field / N (Td),Momentum frequency /N (m3/s),Mean energy (eV),Mobility *N (1/m/V/s)
1.00000E+00,1.37708E-13,3.90819E-01,1.26790E+24
2.18787E+00,1.37603E-13,4.02595E-01,1.26910E+24
5.75149E+00,1.37547E-13,4.92926E-01,1.27112E+24
1.16908E+01,1.43593E-13,7.51709E-01,1.22043E+24
2.00059E+01,1.55594E-13,1.15590E+00,1.12819E+24
3.06968E+01,1.64377E-13,1.84111E+00,1.06887E+24
4.37634E+01,1.69052E-13,2.61857E+00,1.03976E+24
5.92057E+01,1.72892E-13,3.25925E+00,1.01687E+24
7.70238E+01,1.77036E-13,3.77507E+00,9.93176E+23
9.72176E+01,1.81595E-13,4.22120E+00,9.68301E+23
1.19787E+02,1.86600E-13,4.63495E+00,9.42366E+23
1.44732E+02,1.91816E-13,5.04554E+00,9.16767E+23
1.72054E+02,1.97377E-13,5.46431E+00,8.90961E+23
2.01750E+02,2.03040E-13,5.90625E+00,8.66128E+23
2.33823E+02,2.08796E-13,6.37802E+00,8.42262E+23
2.68271E+02,2.14627E-13,6.88360E+00,8.19392E+23
3.05095E+02,2.20491E-13,7.42869E+00,7.97608E+23
3.44295E+02,2.26429E-13,8.01308E+00,7.76699E+23
3.85870E+02,2.32269E-13,8.63816E+00,7.57177E+23
4.29822E+02,2.38084E-13,9.30286E+00,7.38690E+23
4.76149E+02,2.43985E-13,1.00032E+01,7.20829E+23
5.24851E+02,2.49785E-13,1.07411E+01,7.04095E+23
5.75930E+02,2.55567E-13,1.15136E+01,6.88170E+23
6.29384E+02,2.61291E-13,1.23211E+01,6.73098E+23
6.85214E+02,2.66951E-13,1.31625E+01,6.58829E+23
7.43420E+02,2.72565E-13,1.40375E+01,6.45263E+23
8.04001E+02,2.78080E-13,1.49465E+01,6.32467E+23
8.66958E+02,2.83549E-13,1.58892E+01,6.20270E+23
9.32291E+02,2.89005E-13,1.68648E+01,6.08562E+23
1.00000E+03,2.94276E-13,1.78800E+01,5.97663E+23
