Electric field / N (Td),Momentum frequency /N (m3/s),Mean energy (eV),Mobility *N (1/m/V/s)
1.00000E+00,1.37852E-13,3.91973E-01,1.27587E+24
2.18787E+00,1.37916E-13,4.08006E-01,1.27528E+24
5.75149E+00,1.39184E-13,5.19935E-01,1.26367E+24
1.16908E+01,1.47047E-13,7.89813E-01,1.19610E+24
2.00059E+01,1.58709E-13,1.17601E+00,1.10820E+24
3.06968E+01,1.66055E-13,1.83663E+00,1.05918E+24
4.37634E+01,1.69771E-13,2.61205E+00,1.03600E+24
5.92057E+01,1.73181E-13,3.25919E+00,1.01560E+24
7.70238E+01,1.77200E-13,3.77681E+00,9.92563E+23
9.72176E+01,1.81714E-13,4.22330E+00,9.67904E+23
1.19787E+02,1.86612E-13,4.63894E+00,9.42501E+23
1.44732E+02,1.91871E-13,5.04659E+00,9.16669E+23
1.72054E+02,1.97413E-13,5.46635E+00,8.90934E+23
2.01750E+02,2.03038E-13,5.90797E+00,8.66250E+23
2.33823E+02,2.08833E-13,6.37846E+00,8.42212E+23
2.68271E+02,2.14670E-13,6.88465E+00,8.19314E+23
3.05095E+02,2.20610E-13,7.42819E+00,7.97254E+23
3.44295E+02,2.26391E-13,8.01422E+00,7.76893E+23
3.85870E+02,2.32321E-13,8.63825E+00,7.57065E+23
4.29822E+02,2.38146E-13,9.30276E+00,7.38546E+23
4.76149E+02,2.43976E-13,1.00042E+01,7.20900E+23
5.24851E+02,2.49796E-13,1.07415E+01,7.04103E+23
5.75930E+02,2.55575E-13,1.15141E+01,6.88183E+23
6.29384E+02,2.61304E-13,1.23209E+01,6.73094E+23
6.85214E+02,2.66962E-13,1.31624E+01,6.58827E+23
7.43420E+02,2.72610E-13,1.40368E+01,6.45177E+23
8.04001E+02,2.78127E-13,1.49458E+01,6.32379E+23
8.66958E+02,2.83594E-13,1.58884E+01,6.20188E+23
9.32291E+02,2.88974E-13,1.68658E+01,6.08643E+23
1.00000E+03,2.94305E-13,1.78793E+01,5.97618E+23
