# Data from [Minesi2022](https://doi.org/10.1088/1361-6595/ac5cd4)
# Data from Fig.7 of the paper, electron density, provided by the authors.
# Time [ns];ne (4.75mm) [cm^-3];ne (4.25mm) [cm^-3];ne (2.25mm) [cm^-3];ne (0.75mm) [cm^-3];ne (0.25mm) [cm^-3];uncertainty on ne (4.75mm) [cm^-3];uncertainty on ne (4.25mm) [cm^-3];uncertainty on ne (2.25mm) [cm^-3];uncertainty on ne (0.75mm) [cm^-3];uncertainty on ne (0.25mm) [cm^-3];
1			773800768901048			--	--	154760153780210	--	--
2		1.25401584389482E15	802850824206256	1.21181938265815E15	--	--	250803168778965	160570164841251	242363876531629	--
3		1.29202845885209E15	864491646397650	1.37768588488123E15	--	--	258405691770419	172898329279530	275537176976245	--
4	2.68711028875269E15	1.51002615772776E15	962626845132185	1.52733628779619E15	--	537422057750537	302005231545553	192525369026437	305467257559238	--
5	2.9445925501742E15	1.69751330377284E15	1.09903838893122E15	1.78173255109768E15	3.2706054182584E15	588918510034840	339502660754568	219807677786243	356346510219537	654121083651680
6	3.84391954558099E15	2.00268322944711E15	1.27391135367426E15	2.2589797953778E15	4.65001179402718E15	768783909116197	400536645889422	254782270734851	451795959075559	930002358805437
7	4.55667236920082E15	2.29129082110031E15	1.44945883754311E15	2.75455464748498E15	7.28586878335374E15	911334473840165	458258164220061	289891767508621	550910929496997	1.45717375667075E15
8	5.39301442680881E15	2.67945791838616E15	1.64871108799578E15	3.26495953985021E15	9.22518567078855E15	1.07860288536176E15	535891583677233	329742217599156	652991907970042	1.84503713415771E15
9	7.45924707082556E15	3.01767896022885E15	1.82907324826575E15	4.04712607797175E15	1.10854788065822E16	1.49184941416511E15	603535792045770	365814649653150	809425215594350	2.21709576131644E15
10	8.14203347938505E15	3.38629466274228E15	1.95096659541547E15	4.63529256031302E15	1.29206562603641E16	1.62840669587701E15	677258932548456	390193319083094	927058512062604	2.58413125207281E15
11	8.26394226217123E15	3.82058010399734E15	2.16139258134876E15	5.26070257067179E15	1.41267271143101E16	1.65278845243425E15	764116020799467	432278516269752	1.05214051413436E15	2.82534542286202E15
12	8.8843225494134E15	4.17712012152396E15	2.30288253209732E15	5.8473358793322E15	1.58679071676778E16	1.77686450988268E15	835424024304791	460576506419463	1.16946717586644E15	3.17358143353555E15
13	9.81069142715302E15	4.50464311162558E15	2.41702023119595E15	6.68834449287912E15	1.72664461900314E16	1.9621382854306E15	900928622325116	483404046239191	1.33766889857582E15	3.45328923800627E15
14	1.03610074665605E16	4.7036592154652E15	2.51918436608456E15	6.92241028703344E15	1.78883245508272E16	2.0722014933121E15	940731843093040	503836873216912	1.38448205740669E15	3.57766491016543E15
15	1.13330637535108E16	5.42705100300299E15	2.64994828655176E15	7.53980287426987E15	1.98504482264954E16	2.26661275070217E15	1.0854102006006E15	529989657310352	1.50796057485397E15	3.97008964529908E15
16	1.17323228569862E16	5.47774678458721E15	2.66497160404016E15	7.91698554236577E15	2.04973900424765E16	2.34646457139724E15	1.09554935691744E15	532994320808031	1.58339710847315E15	4.09947800849529E15
17	1.24923450632666E16	5.47446181300958E15	2.7155915596269E15	8.2186090805449E15	2.04573829982725E16	2.49846901265332E15	1.09489236260192E15	543118311925379	1.64372181610898E15	4.0914765996545E15
18		5.61699136186544E15	2.65207547846035E15	8.33933193137624E15	--	--	1.12339827237309E15	530415095692069	1.66786638627525E15	--
19		5.809873352612E15	2.59272237944501E15	8.34029371718828E15	--	--	1.1619746705224E15	518544475889003	1.66805874343766E15	--
20	--	--	--	--	--	--	--	--	--	--
21						--	--	--	--	--
69	4.54835884321183E15	2.16764581319702E15		3.63286637428905E15	--	909671768642367	433529162639404	--	726573274857810	--
