# Data from [Minesi2022](https://doi.org/10.1088/1361-6595/ac5cd4)
# Data from Fig.3 of the paper, anode configuration, provided by the authors.
# Time [s];Voltage [kV];Current [A];Energy [J]
3.08E-7;0.0209899;0.0849589;-1.228E-10
3.084E-7;0.0178414;0.094954;-1.228E-10
3.088E-7;0.0216895;0.0924552;-1.228E-10
3.092E-7;0.0237885;0.0899564;-1.228E-10
3.096E-7;0.0265872;0.0924552;-1.228E-10
3.1E-7;0.022739;0.0774625;-1.228E-10
3.104E-7;0.02064;0.0724649;-1.228E-10
3.108E-7;0.0220394;0.0649685;-1.228E-10
3.112E-7;0.0258875;0.0849589;-1.228E-10
3.116E-7;0.0307851;0.094954;-1.228E-10
3.12E-7;0.0265872;0.0924552;-1.228E-10
3.124E-7;0.0241383;0.0874576;-1.228E-10
3.128E-7;0.022739;0.0824601;-1.228E-10
3.132E-7;0.0258875;0.094954;-1.228E-10
3.136E-7;0.0300855;0.094954;-1.228E-10
3.14E-7;0.0272868;0.094954;-1.228E-10
3.144E-7;0.026937;0.0899564;-1.228E-10
3.148E-7;0.0293858;0.0999516;-1.228E-10
3.152E-7;0.0339336;0.107448;-1.228E-10
3.156E-7;0.0381316;0.104949;-1.228E-10
3.16E-7;0.0412801;0.104949;-1.228E-10
3.164E-7;0.0440787;0.107448;-1.228E-10
3.168E-7;0.0493262;0.107448;-1.228E-10
3.172E-7;0.0577221;0.10245;-1.228E-10
3.176E-7;0.0696164;0.117443;-1.228E-10
3.18E-7;0.0801113;0.142431;-1.228E-10
3.184E-7;0.0867581;0.172417;6.07944E-8
3.188E-7;0.10355;0.189908;6.07944E-8
3.192E-7;0.117193;0.204901;6.07944E-8
3.196E-7;0.132586;0.239884;6.07944E-8
3.2E-7;0.146229;0.327341;6.07944E-8
3.204E-7;0.136784;0.429792;1.21712E-7
3.208E-7;0.128738;0.547235;1.21712E-7
3.212E-7;0.114745;0.672175;1.82629E-7
3.216E-7;0.113695;0.839593;1.82629E-7
3.22E-7;0.143431;1.05699;2.43546E-7
3.224E-7;0.187509;1.31186;3.04463E-7
3.228E-7;0.215146;1.61672;4.26298E-7
3.232E-7;0.274967;1.8566;5.48132E-7
3.236E-7;0.33164;2.01153;7.91801E-7
3.24E-7;0.424345;2.01902;1.09639E-6
3.244E-7;0.582818;1.87909;1.52281E-6
3.248E-7;0.76648;1.61422;2.01014E-6
3.252E-7;1.00436;1.29687;2.5584E-6
3.256E-7;1.30522;1.0245;3.10665E-6
3.26E-7;1.69213;1.14195;3.71583E-6
3.264E-7;2.17175;1.60922;4.6905E-6
3.268E-7;2.86057;2.10648;6.39618E-6
3.272E-7;3.77782;2.66871;9.38113E-6
3.276E-7;4.68004;3.17596;1.41327E-5
3.28E-7;5.25236;3.80566;2.07726E-5
3.284E-7;5.67111;5.49734;2.96056E-5
3.288E-7;5.98701;9.06811;4.38603E-5
3.292E-7;6.11015;14.2581;6.82881E-5
3.296E-7;5.9996;18.0812;1.05569E-4
3.3E-7;5.69175;17.8264;1.48942E-4
3.304E-7;5.52908;15.4775;1.88173E-4
3.308E-7;5.55951;15.5325;2.22226E-4
3.312E-7;5.45491;19.0683;2.57984E-4
3.316E-7;5.28875;23.1788;3.00992E-4
3.32E-7;5.21703;25.5301;3.5137E-4
3.324E-7;5.14496;26.6921;4.05465E-4
3.328E-7;5.03092;27.974;4.60838E-4
3.332E-7;4.88189;29.0459;5.17431E-4
3.336E-7;4.76155;29.2408;5.74144E-4
3.34E-7;4.73111;30.1054;6.3031E-4
3.344E-7;4.66745;32.9366;6.88242E-4
3.348E-7;4.59783;36.5973;7.51109E-4
3.352E-7;4.5443;38.8162;8.19824E-4
3.356E-7;4.40157;39.2435;8.90488E-4
3.36E-7;4.18958;39.5109;9.58654E-4
3.364E-7;3.98877;40.3255;0.00102402
3.368E-7;3.88207;40.7153;0.0010881
