# Data from [Minesi2022](https://doi.org/10.1088/1361-6595/ac5cd4)
# Data from Fig.16 of the paper, remote configuration, provided by the authors.
# Time [ns];Voltage [kV];Error on voltage [kV];Current [A];Error on current [A]
1.39999999999998;0.123191;0.00862337;2.41885;0.0241885
1.80000000000001;0.164921;0.01154447;2.99357;0.0299357
2.19999999999999;0.225017;0.01575119;4.01308;0.0401308
2.60000000000002;0.317847;0.02224929;5.66978;0.0566978
3;0.471898;0.03303286;8.25352;0.0825352
3.39999999999998;0.709534;0.04966738;11.6619;0.116619
3.80000000000001;1.02201;0.0715407;15.4026;0.154026
4.19999999999999;1.3541;0.094787;19.3881;0.193881
4.60000000000002;1.65283;0.1156981;23.6111;0.236111
5;1.95519;0.1368633;28.2189;0.282189
5.40000000000003;2.28653;0.1600571;33.3289;0.333289
5.80000000000001;2.61599;0.1831193;38.0091;0.380091
6.20000000000005;2.96633;0.2076431;41.3525;0.413525
6.60000000000002;3.21983;0.2253881;43.5439;0.435439
7;3.30554;0.2313878;44.9632;0.449632
7.40000000000004;3.31803;0.2322621;45.8278;0.458278
7.80000000000001;3.26406;0.2284842;46.7324;0.467324
8.20000000000005;3.25069;0.2275483;47.527;0.47527
8.60000000000002;3.31728;0.2322096;48.3916;0.483916
9.00000000000006;3.39649;0.2377543;49.0863;0.490863
9.40000000000004;3.47808;0.2434656;49.7459;0.497459
9.80000000000001;3.52131;0.2464917;50.4631;0.504631
10.2;3.52668;0.2468676;50.5805;0.505805
10.6;3.5333;0.247331;50.8579;0.508579
11;3.55167;0.2486169;51.8774;0.518774
11.4;3.57966;0.2505762;52.797;0.52797
11.8;3.61052;0.2527364;52.8419;0.528419
12.2;3.62663;0.2538641;52.1223;0.521223
12.6;3.62388;0.2536716;51.8549;0.518549
13;3.61626;0.2531382;52.1623;0.521623
13.4;3.5979;0.251853;52.2222;0.522222
13.8;3.57841;0.2504887;51.6775;0.516775
14.2;3.55667;0.2489669;51.1203;0.511203
14.6;3.52781;0.2469467;50.2382;0.502382
15;3.4952;0.244664;49.3261;0.493261
15.4;3.45009;0.2415063;48.8264;0.488264
15.8;3.386;0.23702;48.7864;0.487864
16.2;3.30104;0.2310728;48.3191;0.483191
16.6;3.19572;0.2237004;46.9423;0.469423
17;3.07103;0.2149721;45.1432;0.451432
17.4;2.92797;0.2049579;43.374;0.43374
17.8;2.76667;0.1936669;41.4025;0.414025
18.2;2.58763;0.1811341;38.5788;0.385788
18.6;2.39148;0.1674036;35.7677;0.357677
19.0000000000001;2.18233;0.1527631;33.6237;0.336237
19.4;1.97105;0.1379735;31.3224;0.313224
19.8;1.7639;0.123473;28.0414;0.280414
20.2;1.57112;0.1099784;25.3378;0.253378
20.6;1.39645;0.0977515;23.3762;0.233762
21;1.24215;0.0869505;21.4196;0.214196
21.4;1.10709;0.0774963;19.0958;0.190958
21.8;0.988275;0.06917925;17.1217;0.171217
22.2;0.889198;0.06224386;15.8149;0.158149
22.6;0.81186;0.0568302;14.5055;0.145055
23;0.748141;0.05236987;12.9612;0.129612
23.4;0.69729;0.0488103;12.0092;0.120092
23.8;0.652812;0.04569684;11.9018;0.119018
24.1999999999999;0.612831;0.04289817;11.5794;0.115794
24.6;0.579472;0.04056304;10.9197;0.109197
25;0.556608;0.03896256;10.5224;0.105224
25.4;0.534618;0.03742326;10.6349;0.106349
25.8;0.508881;0.03562167;10.8848;0.108848
26.2;0.476521;0.03335647;11.0946;0.110946
26.6;0.446785;0.03127495;11.5519;0.115519
27;0.431793;0.03022551;11.9093;0.119093
27.4;0.433917;0.03037419;11.9517;0.119517
27.8;0.443037;0.03101259;11.7793;0.117793
28.2;0.450784;0.03155488;11.7168;0.117168
28.6;0.454907;0.03184349;11.6569;0.116569
29;0.460654;0.03224578;11.4645;0.114645
29.4;0.466651;0.03266557;10.9622;0.109622
29.8;0.467525;0.03272675;10.5924;0.105924
30.2;0.463153;0.03242071;10.4849;0.104849
30.6;0.44791;0.0313537;10.1801;0.101801
31;0.418424;0.02928968;9.42296;0.0942296
31.4;0.372321;0.02606247;8.39346;0.0839346
31.8;0.318222;0.02227554;7.32148;0.0732148
32.2;0.265622;0.01859354;6.05709;0.0605709
32.6;0.223268;0.01562876;4.86017;0.0486017
33;0.184536;0.01291752;3.66575;0.0366575
33.4;0.150053;0.01050371;2.67872;0.0267872
