E/N (Td), Momentum frequency /N (m3/s), Mean energy (eV)
1.00000, 0.136246E-12, 0.389636
2.18787, 0.136165E-12, 0.396824
5.75149, 0.136103E-12, 0.452335
11.6908, 0.139610E-12, 0.636240
20.0059, 0.149132E-12, 0.996275
30.6968, 0.158977E-12, 1.73424
43.7634, 0.164594E-12, 2.48690
59.2057, 0.169256E-12, 3.06427
77.0238, 0.174034E-12, 3.56353
97.2176, 0.179085E-12, 4.02455
119.787, 0.184476E-12, 4.46661
144.732, 0.190009E-12, 4.90677
172.054, 0.195857E-12, 5.35236
201.750, 0.201763E-12, 5.81619
233.823, 0.207723E-12, 6.30529
268.271, 0.213741E-12, 6.82399
305.095, 0.219761E-12, 7.37872
344.295, 0.225828E-12, 7.97016
385.870, 0.231777E-12, 8.60043
429.822, 0.237677E-12, 9.26905
476.149, 0.243583E-12, 9.97365
524.851, 0.249507E-12, 10.7127
575.930, 0.255337E-12, 11.4871
629.384, 0.261098E-12, 12.2962
685.214, 0.266788E-12, 13.1391
743.420, 0.272425E-12, 14.0154
804.001, 0.277960E-12, 14.9255
866.958, 0.283446E-12, 15.8693
932.291, 0.288915E-12, 16.8459
1000.00, 0.294196E-12, 17.8620
