Electric field / N (Td),Mobility *N (1/m/V/s)
1.00000E-01,7.99159E+23
1.09750E-01,7.99160E+23
1.20450E-01,7.99162E+23
1.32194E-01,7.99164E+23
1.45083E-01,7.99166E+23
1.59228E-01,7.99170E+23
1.74753E-01,7.99173E+23
1.91791E-01,7.99178E+23
2.10490E-01,7.99183E+23
2.31013E-01,7.99189E+23
2.53536E-01,7.99197E+23
2.78256E-01,7.99207E+23
3.05386E-01,7.99218E+23
3.35160E-01,7.99231E+23
3.67838E-01,7.99248E+23
4.03702E-01,7.99268E+23
4.43062E-01,7.99291E+23
4.86260E-01,7.99320E+23
5.33670E-01,7.99354E+23
5.85702E-01,7.99396E+23
6.42807E-01,7.99445E+23
7.05480E-01,7.99505E+23
7.74264E-01,7.99578E+23
8.49753E-01,7.99665E+23
9.32603E-01,7.99769E+23
1.02353E+00,7.99895E+23
1.12332E+00,8.00046E+23
1.23285E+00,8.00228E+23
1.35305E+00,8.00446E+23
1.48497E+00,8.00709E+23
1.62975E+00,8.01024E+23
1.78865E+00,8.01402E+23
1.96304E+00,8.01856E+23
2.15443E+00,8.02399E+23
2.36449E+00,8.03050E+23
2.59502E+00,8.03828E+23
2.84804E+00,8.04756E+23
3.12572E+00,8.05915E+23
3.43047E+00,8.07234E+23
3.76494E+00,8.08799E+23
4.13201E+00,8.10654E+23
4.53488E+00,8.12845E+23
4.97702E+00,8.15421E+23
5.46228E+00,8.18435E+23
5.99484E+00,8.21909E+23
6.57933E+00,8.25951E+23
7.22081E+00,8.30565E+23
7.92483E+00,8.35773E+23
8.69749E+00,8.41528E+23
9.54548E+00,8.47762E+23
1.04762E+01,8.54295E+23
1.14976E+01,8.60975E+23
1.26186E+01,8.67462E+23
1.38489E+01,8.73441E+23
1.51991E+01,8.78432E+23
1.66810E+01,8.82124E+23
1.83074E+01,8.84202E+23
2.00923E+01,8.84634E+23
2.20513E+01,8.83428E+23
2.42013E+01,8.80779E+23
2.65609E+01,8.77015E+23
2.91505E+01,8.72468E+23
3.19927E+01,8.67458E+23
3.51119E+01,8.62189E+23
3.85353E+01,8.56852E+23
4.22924E+01,8.51425E+23
4.64159E+01,8.45792E+23
5.09414E+01,8.40014E+23
5.59081E+01,8.34005E+23
6.13591E+01,8.27617E+23
6.73415E+01,8.20882E+23
7.39072E+01,8.13831E+23
8.11131E+01,8.06370E+23
8.90215E+01,7.98546E+23
9.77010E+01,7.90320E+23
1.07227E+02,7.81765E+23
1.17681E+02,7.72827E+23
1.29155E+02,7.63533E+23
1.41747E+02,7.53834E+23
1.55568E+02,7.43824E+23
1.70735E+02,7.33480E+23
1.87382E+02,7.22821E+23
2.05651E+02,7.11881E+23
2.25702E+02,7.00689E+23
2.47708E+02,6.89281E+23
2.71859E+02,6.77759E+23
2.98365E+02,6.66036E+23
3.27455E+02,6.54187E+23
3.59381E+02,6.42279E+23
3.94421E+02,6.30279E+23
4.32876E+02,6.18295E+23
4.75081E+02,6.06310E+23
5.21401E+02,5.94287E+23
5.72237E+02,5.82340E+23
6.28029E+02,5.70459E+23
6.89261E+02,5.58620E+23
7.56464E+02,5.46887E+23
8.30217E+02,5.35213E+23
9.11163E+02,5.23788E+23
1.00000E+03,5.12464E+23
