E/N (Td), Momentum frequency /N (m3/s), Mean energy (eV)
1.00000, 0.136063E-12, 0.388525
2.18787, 0.136067E-12, 0.391444
5.75149, 0.136197E-12, 0.414153
11.6908, 0.137569E-12, 0.494578
20.0059, 0.146239E-12, 0.740332
30.6968, 0.157831E-12, 1.28719
43.7634, 0.163923E-12, 2.09994
59.2057, 0.167911E-12, 2.63158
77.0238, 0.172056E-12, 3.08793
97.2176, 0.176537E-12, 3.52728
119.787, 0.181432E-12, 3.96807
144.732, 0.186839E-12, 4.42243
172.054, 0.192490E-12, 4.89463
201.750, 0.198366E-12, 5.39014
233.823, 0.204484E-12, 5.91209
268.271, 0.210796E-12, 6.46283
305.095, 0.217079E-12, 7.04714
344.295, 0.223286E-12, 7.66652
385.870, 0.229589E-12, 8.31876
429.822, 0.235782E-12, 9.00681
476.149, 0.241931E-12, 9.72893
524.851, 0.248031E-12, 10.4839
575.930, 0.254048E-12, 11.2723
629.384, 0.259976E-12, 12.0935
685.214, 0.265804E-12, 12.9479
743.420, 0.271590E-12, 13.8339
804.001, 0.277210E-12, 14.7539
866.958, 0.282783E-12, 15.7066
932.291, 0.288274E-12, 16.6924
1000.00, 0.293671E-12, 17.7146
