E/N (Td), Momentum frequency /N (m3/s), Mean energy (eV)
1.00000, 0.216880E-12, 0.259809
2.18787, 0.216317E-12, 0.264469
5.75149, 0.211490E-12, 0.302852
11.6908, 0.201116E-12, 0.457268
20.0059, 0.196297E-12, 0.757228
30.6968, 0.199685E-12, 1.21727
43.7634, 0.204543E-12, 1.99551
59.2057, 0.209249E-12, 2.81207
77.0238, 0.214377E-12, 3.45689
97.2176, 0.219780E-12, 3.96502
119.787, 0.225444E-12, 4.39752
144.732, 0.231302E-12, 4.79581
172.054, 0.237388E-12, 5.18733
201.750, 0.243548E-12, 5.58395
233.823, 0.249826E-12, 5.99743
268.271, 0.256101E-12, 6.43634
305.095, 0.262419E-12, 6.90425
344.295, 0.268597E-12, 7.40614
385.870, 0.274883E-12, 7.93967
429.822, 0.281058E-12, 8.50788
476.149, 0.287158E-12, 9.10985
524.851, 0.293261E-12, 9.74360
575.930, 0.299280E-12, 10.4096
629.384, 0.305296E-12, 11.1058
685.214, 0.311160E-12, 11.8331
743.420, 0.317001E-12, 12.5895
804.001, 0.322789E-12, 13.3748
866.958, 0.328511E-12, 14.1893
932.291, 0.334139E-12, 15.0340
1000.00, 0.339694E-12, 15.9093
